KTS    S    FD    KD    FT    
25     1     0     20     20
25     2     0     24     24
27     3     0     20     20
28     4     0     26     26
30     5     27     1     28
32     6     0     30     30
32     7     0     30     30
36     8     28     5     33
36     9     30     3     33
38     10     34     1     35
38     11     34     1     35
40     12     35     1     36
40     13     36     1     37
42     14     37     1     38
42     15     37     1     38
43     16     0     41     41
44     17     38     1     39
44     18     39     1     40
45     19     0     42     42
46     20     39     1     40
46     21     39     1     40
48     22     40     1     41
48     23     41     1     42
50     24     42     1     43
50     25     23     22     45
50     26     42     1     43
52     27     0     48     48
52     28     44     1     45
54     29     27     21     48
67     30     39     21     60
71     31     0     69     69
102     32     0     98     98
105     33     0     98     98
105     34     0     98     98
111     35     0     104     104
113     36     0     106     106
113     37     0     110     110
114     38     0     110     110
114     39     0     109     109
132     40     99     29     128
133     41     0     131     131
135     42     0     132     132
135     43     101     29     130
136     44     110     21     131
138     45     101     32     133
155     46     128     21     149
157     47     129     21     150
165     48     126     32     158
165     49     129     29     158
171     50     132     32     164
195     51     159     29     188
T1_Total_Damage     T2_Total_Damage     T3_Total_Damage    T4_Total_Damage    
5.37045               57.1187               6.1199               77.9727               
R1_Distance      R1_Distance      R1_Distance     R1_Distance     
2               30               30               30               
Game is WIN
Total Enemies 		= 51
Average Fight Delay	= 38.5294
Average Kill Delay  	= 35.4706
